Mitarbeiter_ID,Name,Tag_1_Stunde_00,Tag_1_Stunde_01,Tag_1_Stunde_02,Tag_1_Stunde_03,Tag_1_Stunde_04,Tag_1_Stunde_05,Tag_1_Stunde_06,Tag_1_Stunde_07,Tag_1_Stunde_08,Tag_1_Stunde_09,Tag_1_Stunde_10,Tag_1_Stunde_11,Tag_1_Stunde_12,Tag_1_Stunde_13,Tag_1_Stunde_14,Tag_1_Stunde_15,Tag_1_Stunde_16,Tag_1_Stunde_17,Tag_1_Stunde_18,Tag_1_Stunde_19,Tag_1_Stunde_20,Tag_1_Stunde_21,Tag_1_Stunde_22,Tag_1_Stunde_23,Tag_2_Stunde_00,Tag_2_Stunde_01,Tag_2_Stunde_02,Tag_2_Stunde_03,Tag_2_Stunde_04,Tag_2_Stunde_05,Tag_2_Stunde_06,Tag_2_Stunde_07,Tag_2_Stunde_08,Tag_2_Stunde_09,Tag_2_Stunde_10,Tag_2_Stunde_11,Tag_2_Stunde_12,Tag_2_Stunde_13,Tag_2_Stunde_14,Tag_2_Stunde_15,Tag_2_Stunde_16,Tag_2_Stunde_17,Tag_2_Stunde_18,Tag_2_Stunde_19,Tag_2_Stunde_20,Tag_2_Stunde_21,Tag_2_Stunde_22,Tag_2_Stunde_23,Tag_3_Stunde_00,Tag_3_Stunde_01,Tag_3_Stunde_02,Tag_3_Stunde_03,Tag_3_Stunde_04,Tag_3_Stunde_05,Tag_3_Stunde_06,Tag_3_Stunde_07,Tag_3_Stunde_08,Tag_3_Stunde_09,Tag_3_Stunde_10,Tag_3_Stunde_11,Tag_3_Stunde_12,Tag_3_Stunde_13,Tag_3_Stunde_14,Tag_3_Stunde_15,Tag_3_Stunde_16,Tag_3_Stunde_17,Tag_3_Stunde_18,Tag_3_Stunde_19,Tag_3_Stunde_20,Tag_3_Stunde_21,Tag_3_Stunde_22,Tag_3_Stunde_23,Tag_4_Stunde_00,Tag_4_Stunde_01,Tag_4_Stunde_02,Tag_4_Stunde_03,Tag_4_Stunde_04,Tag_4_Stunde_05,Tag_4_Stunde_06,Tag_4_Stunde_07,Tag_4_Stunde_08,Tag_4_Stunde_09,Tag_4_Stunde_10,Tag_4_Stunde_11,Tag_4_Stunde_12,Tag_4_Stunde_13,Tag_4_Stunde_14,Tag_4_Stunde_15,Tag_4_Stunde_16,Tag_4_Stunde_17,Tag_4_Stunde_18,Tag_4_Stunde_19,Tag_4_Stunde_20,Tag_4_Stunde_21,Tag_4_Stunde_22,Tag_4_Stunde_23,Tag_5_Stunde_00,Tag_5_Stunde_01,Tag_5_Stunde_02,Tag_5_Stunde_03,Tag_5_Stunde_04,Tag_5_Stunde_05,Tag_5_Stunde_06,Tag_5_Stunde_07,Tag_5_Stunde_08,Tag_5_Stunde_09,Tag_5_Stunde_10,Tag_5_Stunde_11,Tag_5_Stunde_12,Tag_5_Stunde_13,Tag_5_Stunde_14,Tag_5_Stunde_15,Tag_5_Stunde_16,Tag_5_Stunde_17,Tag_5_Stunde_18,Tag_5_Stunde_19,Tag_5_Stunde_20,Tag_5_Stunde_21,Tag_5_Stunde_22,Tag_5_Stunde_23,Tag_6_Stunde_00,Tag_6_Stunde_01,Tag_6_Stunde_02,Tag_6_Stunde_03,Tag_6_Stunde_04,Tag_6_Stunde_05,Tag_6_Stunde_06,Tag_6_Stunde_07,Tag_6_Stunde_08,Tag_6_Stunde_09,Tag_6_Stunde_10,Tag_6_Stunde_11,Tag_6_Stunde_12,Tag_6_Stunde_13,Tag_6_Stunde_14,Tag_6_Stunde_15,Tag_6_Stunde_16,Tag_6_Stunde_17,Tag_6_Stunde_18,Tag_6_Stunde_19,Tag_6_Stunde_20,Tag_6_Stunde_21,Tag_6_Stunde_22,Tag_6_Stunde_23,Tag_7_Stunde_00,Tag_7_Stunde_01,Tag_7_Stunde_02,Tag_7_Stunde_03,Tag_7_Stunde_04,Tag_7_Stunde_05,Tag_7_Stunde_06,Tag_7_Stunde_07,Tag_7_Stunde_08,Tag_7_Stunde_09,Tag_7_Stunde_10,Tag_7_Stunde_11,Tag_7_Stunde_12,Tag_7_Stunde_13,Tag_7_Stunde_14,Tag_7_Stunde_15,Tag_7_Stunde_16,Tag_7_Stunde_17,Tag_7_Stunde_18,Tag_7_Stunde_19,Tag_7_Stunde_20,Tag_7_Stunde_21,Tag_7_Stunde_22,Tag_7_Stunde_23,Gesamtstunden
MA1,MA1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
MA2,MA2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
MA3,MA3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
MA4,MA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
MA5,MA5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
MA6,MA6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
MA7,MA7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
MA8,MA8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
MA9,MA9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
MA10,MA10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
